lines,chars,aa
10,21,"     .---.           
    @ @   )          
    ^     |          
   [|]    | ##       
   /      |####      
  (       |####      
   \| /   |#BP#      
  / |.'   |###       
 _\ ``\   )##        
/,,_/,,____#
        "
11,37,"             _,--""""--,_              
        _,,-""          \             
    ,-e""                ;            
   (*             \     |            
    \o\     __,-""  )    |            
     `,_   (((__,-""     L___,,--,,__ 
        ) ,---\  /\    / -- '' -'-' )
      _/ /     )_||   /---,,___  __/ 
     """"""""     """"""""|_ /         """"    
                  """"""""               
miK
                                 "
13,34,"                   |    :|        
                   |     |        
                   |    .|        
               ____|    .|        
             .' .  ).   ,'        
           .' c   '7 ) (          
       _.-""       |.'   `.        
     .'           ""8E   :|        
     |          _}""""    :|        
     |         (   |     |        
    .'         )   |    :|        
.odCG8o_.---.__8E  |    .|        
`Y8MMP""""       """"  `-...-'   cgmm
"
7,19,"     __.oOo.__     
    /'(  _  )`\    
   / . \/^\/ . \   
  /  _)_`-'_(_  \  
 /.-~   ).(   ~-.\ 
/'     /\_/\     `\
     . ""-V-""
      "
7,37,"                    |                
____________    __ -+-  ____________ 
\_____     /   /_ \ |   \     _____/ 
 \_____    \____/  \____/    _____/  
  \_____                    _____/   
     \___________  ___________/      
               /____\
               "
7,13,"          /')
  ////  /' )'
 @   \/'  )' 
< (  (_...)' 
  \      )   
   \,,,,/    
     _|_
    "
7,31,"               _.------.       
           _.-`    ('>.-`""""""-. 
 '.__.---'`       _'`   _ .--.)
jgs     -'         '-.-';`   ` 
        ' -      _.'  ``'--.   
            '---`    .-'""""`    
                   /`
         "
8,11,"   (       
  `-`-.    
  '( @ >   
   _) (    
  /    )   
 /_,'  /   
   \  /    
===m""""m===
"
8,30,"            _.-.              
        .-.  `) |  .-.        
    _.'`. .~./  \.~. .`'._    
.-'`.'-'.'.-:    ;-.'.'-'.`'-.
 `'`'`'`'`   \  /   `'`'`'`'` 
             /||\             
  jgs       / ^^ \            
            `'``'`
           "
8,22,"       _------.       
      /  ,     \_     
    /   /  /{}\ |o\_  
   /    \  `--' /-' \ 
  |      \      \    |
 |              |`-, |
 /              /__/)/
|              |
     "
8,17,"  .--.           
  \  |           
   \|\''(.       
   /| )) ''-.    
   \'.__( , ,)   
   ('---.\-v     
mrf_\__ ,-\_,    
    |'-   '-
    "
8,33,"              _..                
 ___..-""""""-.  `)^|   .-""""""-..___ 
`-...___ '=.'-.'  \-'.=' ___...-'
        `\  ' ##### '  /`        
          '--;|||||;--'          
             /\|||/\             
       jgs  ( /;-;\ )            
             '-...-'
            "
8,20,"       .~~~~-.      
      /    ,__`)    
     |      \o/|'-. 
     |         /  ,\
     |        ('--./
jgs  /         \    
    /  ,  ,  ,  \   
    `--'--'--'--'
  "
9,27,"      .'''''.              
     '       .             
  __' 0       ;            
 /  \         ;            
|  .-|         ;    -Gurno 
\/~~'          ;           
   /;.  .;;.  . ;          
  /;;;;;;;;;;;;;\          
 |;;;;;;;;;;;;;;;\
        "
9,20,"           ___      
       _,-' ______  
     .'  .-'  ____7 
    /   /   ___7    
  _|   /  ___7      
>(')\ | ___7     jgs
  \\/     \_______  
  '        _======> 
  `'----\\`
        "
10,18,"             /    
\\\' ,      / //  
 \\\//    _/ //'  
  \_-//' /  //<'  
    \ ///  <//'   
    /  >>   \\\`  
   /,)-^>>  _\`   
   (/   \\ / \\\  
         //  //\\\
        ((`
      "
10,15,"  __________   
 / ___  ___ \  
/ / @ \/ @ \ \ 
\ \___/\___/ /\
 \____\/____/||
 /     /\\\\\//
|     |\\\\\\  
 \      \\\\\\ 
   \______/\\\\
    _||_||_
   "
10,37,"                 _  _                
                ( \/ )               
         .---.   \  /   .-""-.        
        /   6_6   \/   / 4 4 \       
        \_  (__\       \_ v _/       
        //   \\        //   \\       
       ((     ))      ((     ))      
jgs=====""""===""""========""""===""""=======
          |||            |||         
           |              |
         "
10,33,"          _.-'`)     (`'-._      
        .' -' / __    \ '- '.    
       / .-' ( '-,`|   ) '-. \   
      / .-',-`'._/ \_.'`-,'-. \  
     ; ; /.`'.-'(   )'-.'`.\ ; ; 
     | .-'|\//'-/   \-'\\/|'-. | 
     |` |; :|'._\   /_,'|: ;| `| 
     || : |;    `Y-Y`    ;| : || 
jgs  \:| :/======""=""======\| |:/ 
     /_:-`                 `-;_\
"
10,31,"       .------._               
 .-""""""`-.<')    `-._           
(.--. _   `._       `'---.__.-'
 `   `;'-.-'         '-    ._  
   .--'``  '._      - '   .    
    `""""'-.    `---'    ,       
          `\                   
            `\      .'         
              `'. '            
            jgs `'.
           "
11,31,"      .---.        .-----------
     /     \  __  /    ------  
    / /     \(  )/    -----    
   //////   ' \/ `   ---       
  //// / // :    : ---         
 // /   /  /`    '--           
//          //..\\             
       ====UU====UU====        
           '//||\\`            
             ''``              
        Daron Brewood
         "
11,40," ,`````.          _________             
' CiCi  `,       /_  ___   \            
'  ^_^   `.     /@ \/@  \   \           
 ` , . , '  `.. \__/\___/   /           
                 \_\/______/            
                 /     /\\\\\           
                |     |\\\\\\           
                 \      \\\\\\          
                  \______/\\\\     -ccw-
            _______ ||_||_______        
           (______(((_(((______(@)
     "
12,25," /L/\                    
_\   \_                  
\      )  _,    ,,_      
_|    (  ( 9`> < 6 ) _ __
\_     \__) (__,) (_ )' /
  \_    _)   \-/  / `-,(_
    `--'Z    /`\_ `,___,/
       /(__,/    ))/     
      /  \((_   /`/`     
     /   |\`\            
     `-^-'               
               mic
      "
13,20,"          | o     | 
          |       | 
       _  | |  () | 
      ( '=| |     | 
     /  ( |     | | 
    / / |/|   |   | 
    |/\ |/|       | 
       \\ | ()    | 
        \\|    |  | 
          |    |  | 
          |       | 
          |  |    | 
-dana`98- |       |
"
13,21,"      _...._         
    /       \        
   /  o _ o          
   (    \/  )        
  )          (       
(    -  -  -  )      
(             )      
 (            )      
  [          ]       
---/l\    /l\--------
  ----------------   
     (  )            
    ( __ _)
         "
13,28,"      _.-.                  
 __.-' ,  \                 
'--'-'._   \                
        '.  \               
         )-- \ __.--._      
        /   .'        '--.  
       .               _/-._
       :       ____._/   _-'
        '._          _.'-'  
           '-._    _.'      
               \_|/         
              __|||         
 snd          >__/'
        "
13,26,"   ...    *    .   _  .   
*  .  *     .   * (_)   * 
  .      |*  ..   *   ..  
   .  * \|  *  ___  . . * 
*   \/   |/ \/{o,o}     . 
  _\_\   |  / /)  )* _/_ *
      \ \| /,--""-""---  .. 
_-----`  |(,__,__/__/_ .  
       \ ||      ..       
        ||| .            *
        |||               
ejm98   |||               
  , -=-~' .-^- _
         "
14,33,"          .-""""""""""""""-.            
        .'       __  \_          
       /        /  \/  \         
      |         \_0/\_0/______   
      |:.          .'       oo`\ 
      |:.         /             \
      |' ;        |             |
      |:..   .     \_______     |
      |::.|'     ,  \,_____\   / 
      |:::.; ' | .  '|      )_/  
      |::; | | ; ; | |           
     /::::.|-| |_|-|, \          
    /'-=-'`  '-'   '--'\         
jgs/                    \
       "
16,34,"                           .      
                          | \/|   
  (\   _                  ) )|/|  
      (/            _----. /.'.'  
.-._________..      .' @ _\  .'   
'.._______.   '.   /    (_| .')   
  '._____.  /   '-/      | _.'    
   '.______ (         ) ) \       
     '..____ '._       )  )       
        .' __.--\  , ,  // ((     
        '.'  mrf|  \/   (_.'(     
                '   \ .'          
                 \   (            
                  \   '.          
                   \ \ '.)        
                    '-'-'
        "
17,31,"      ,~.                      
   ,-'__ `-,                   
  {,-'  `. }              ,')  
 ,( a )   `-.__         ,',')~,
<=.) (         `-.__,==' ' ' '}
  (   )                      / 
   `-'\   ,                  ) 
       |  \        `~.      /  
       \   `._        \    /   
        \     `._____,'   /    
         `-.            ,'     
            `-.      ,-'       
               `~~~~'          
               //_||           
            __//--'/`   hjw    
          ,--'/`  '            
             '
                "
22,36,"         .   ,                      
       '. '.  \  \                  
      ._ '-.'. `\  \                
        '-._; .'; `-.'.             
       `~-.; '.       '.            
        '--,`           '.          
           -='.          ;          
 .--=~~=-,    -.;        ;          
 .-=`;    `~,_.;        /           
`  ,-`'    .-;         |            
   .-~`.    .;         ;            
    .;.-   .-;         ,\           
      `.'   ,=;     .-'  `~.-._     
       .';   .';  .'      .'   '-.  
         .\  ;  ;        ,.' _  a', 
        .'~"";-`   ;      ;""~` `'-=.)
      .' .'   . _;  ;',  ;          
      '-.._`~`.'  \  ; ; :          
           `~'    _'\\_ \\_         
                 /=`^^=`""""/`)-.     
            jgs  \ =  _ =     =\    
                  `""""` `~-. =   ;
  "
7,25,"              ..         
             ( '`<       
              )(         
       ( ----'  '.       
       (         ;       
        (_______,'       
jgs~^~^~^~^~^~^~^~^~^~^~
"
7,22,"           ..         
          ( '`<       
           )(         
    ( ----'  '.       
    (         ;       
     (_______,'   jgs 
~^~^~^~^~^~^~^~^~^~^~
"
13,16,"            __  
           /(`o 
     ,-,  //  \\
    (,,,) ||   V
   (,,,,)\//    
   (,,,/w)-'    
   \,,/w)       
   `V/uu        
     / |        
     | |        
     o o        
     \ |        
\,/  ,\|,.  \,/
"
14,33,"             . --- .             
           /        \            
          |  O  _  O |           
          |  ./   \. |           
          /  `-._.-'  \          
        .' /         \ `.        
    .-~.-~/           \~-.~-.    
.-~ ~    |             |    ~ ~-.
`- .     |             |     . -'
     ~ - |             | - ~     
         \             /         
       ___\           /___       
       ~;_  >- . . -<  _i~       
          `'         `'
         "
14,26,"         (\/)             
          \/              
  (\/)   .-.  .-.         
   \/   ((`-)(-`))        
         \\    //   (\/)  
          \\  //     \/   
   .=""""""=._))((_.=""""""=.   
  /  .,   .'  '.   ,.  \  
 /__(,_.-'      '-._,)__\ 
`    /|             |\   `
    /_|__         __|_\   
      | `))     ((` |     
      |             |     
jgs  -""==         ==""-
   "
15,36,"        ,----,                      
   ___.`      `,                    
   `===  D     :                    
     `'.      .'                    
        )    (                   ,  
       /      \_________________/|  
      /                          |  
     |                           ;  
     |               _____       /  
     |      \       ______7    ,'   
     |       \    ______7     /     
      \       `-,____7      ,'   jgs
^~^~^~^`\                  /~^~^~^~^
  ~^~^~^ `----------------' ~^~^~^  
 ~^~^~^~^~^^~^~^~^~^~^~^~^~^~^~^~
  "
20,35,"   __                              
 .^o ~\                            
Y /'~) }      _____                
l/  / /    ,-~     ~~--.,_         
   ( (    /  ~-._         ^.       
    \ ""--'--.    ""-._       \      
     ""-.________     ~--.,__ ^.    
               \""~r-.,___.-'-. ^.  
                YI    \\      ~-.\ 
                ||     \\        `\
                ||     //          
                ||    //           
                ()   //            
                ||  //     -Row    
                || ( c             
   ___._ __  ___I|__`--__._ __  _  
 ""~     ~  ""~   ::  ~~""    ~  ~~   
                ::                 
                .:                 
                 .
                "
23,29,"              .-""""-.         
             /      \        
            /     (0 \______ 
            |         ""_____)
            \        ,-----' 
             \_    _/        
              /    \         
             /      \        
            /        \       
           /          \      
          /        :   |     
         /     ;   :   |     
\\\     /  _.-'    :   |     
 \\\\  / _'        :   |     
  \\\\/ ;         :   /      
   \\  ;         :   /       
    \   `._`-'_.'  _/        
     \     ''' _.-'          
      \      / /             
  jgs  \    / /              
        \  /)(_______        
         )(_________<        
        (__________<
        "
12,38,"             _.-````'-,_              
   _,.,_ ,-'`           `'-.,_        
 /)     (\                   '``-.    
((      ) )                      `\   
 \)    (_/                        )\  
  |       /)           '    ,'    / \ 
  `\    ^'            '     (    /  ))
    |      _/\ ,     /    ,,`\   (  ""`
     \Y,   |  \  \  | ````| / \_ \    
       `)_/    \  \  )    ( >  ( >    
                \( \(     |/   |/     
    mic & dwb  /_(/_(    /_(  /_(
    "
20,37,"                        _            
                       //            
                      //             
             _.-````'//_             
         ,-'`       //  `'-.,_       
 /)     (\         //        '``-.   
( ( .,-') )       //             ``  
 \)'   (_/       `#'              !! 
  |       /)     ###   '          !!!
  `\    X'       ###  '     !    !!!!
    !      _/! , !## !  ! !  !   !!! 
     \Y,   |!!!  ! #! !!  !! !!!!!!! 
       `!!! !!!! !!# )!!!!!!!!!!!!!  
        !!  ! ! \( \(  !!!|/!  |/!   
               /_(/#(    /_(  /_(    
                 %%%%                
                %%%%%%%              
                 %%%%%%%             
                   %%%%              
                      %%
            "
7,18,"              ,,_ 
              (=-'
         /\/\  )) 
       ~/    \/ | 
       | )___(  | 
       |/     \|| 
ejm98  |'      |'
"
8,20,"       _v   ,,      
      /`|   &&.     
      `-\`-&&&&&.   
         \&&&&&&&\  
          &&#""""&& \ 
         / |   |\  x
         \ |  / /   
as
                 "
8,16,"   //           
 _oo\           
(__/ \  _  _    
   \  \/ \/ \   
   (         )\ 
    \_______/  \
     [[] [[]    
     [[] [[]
   "
13,25,"        _                
    .--' |               
   /___^ |     .--.      
       ) |    /    \     
      /  |  /`      '.   
     |   '-'    /     \  
     \         |      |\ 
      \    /   \      /\|
       \  /'----`\   /   
       |||       \\ |    
       ((|        ((|    
       |||        |||    
jgs   //_(       //_(
   "
16,30," _______\\__                  
(_. _ ._  _/                  
 '-' \__. /                   
      /  /                    
     /  /    .--.  .--.       
    (  (    / '' \/ '' \   ""  
     \  \_.'            \   ) 
     ||               _  './  
      |\   \     ___.'\  /    
        '-./   .'    \ |/     
           \| /       )|\     
            |/       // \\    
            |\    __//   \\__ 
           //\\  /__/  mrf\__|
       .--_/  \_--.           
      /__/      \__\
         "
16,30," _______\\__                  
(_. _ ._  _/                  
 '-' \__. /                   
      /  /                    
     /  /    .--.  .--.       
    (  (    / '' \/ '' \   ""  
     \  \_.'            \   ) 
     ||               _  './  
      |\   \     ___.'\  /    
        '-./   .'    \ |/     
           \| /       )|\     
            |/       // \\    
            |\    __//   \\__ 
           //\\  /__/  mrf\__|
       .--_/  \_--.           
      /__/      \__\
         "
10,55,"  |                                                    
_.|,_                                                  
 '|`                                                   
  |                                                    
                 m   ~)                                
                 o    (_/^\                  v ~)      
               *-|\    /|~|\    w  ~)        o  (_/^\  
                 |_\  / / / |   o  (_/^\   x-|\  /|~|\ 
                              @-|\  /|~|\    |_\/ / / |
ejm97                           |_\/ / / |
            "
24,40,"                              ________  
                            c' e    -`- 
                         _   )    ___ ~'
                       .|*|  |   `|     
                       '|+|  |    |     
                      _||*|_ |    |     
                     //`_,__\|    '     
                    //_/  ' \|    |     
                   ///  _    |    |     
                  /,|  /     \\   |     
                  |/          \\_//     
                   |           \+/      
                   |   '      ,/|       
                    \_/   ,__   )       
                     )\   |)   /        
                    (  \  ||  /         
                     ) ') |/ /          
                     # |\ ' /           
                       )(- -)\          
                      // \'( \\         
                    _//  | |  \\_       
                   //(  _)^(_  )\\  . ..
b'ger .      ..   '^-  /`( )'\  -^'     
                      '^-' '-^' .. .
   "
26,37,"      :                              
       ::                            
   ::::::                            
 :: o :::                            
::::::::::                           
 ::  :::::                           
 :   ::::                            
 :   ::::                            
 :  ::::                             
 :  ::::                             
 : :::::       .,,,.                 
 : ::::       :::::::                
 : ::::::    :::::::::               
 :  ::::::::::::::::::::             
  : :::::::::::::::::::::            
   :::::::::::::::::::::::           
     :::::::::::::::::::::           
      :::::::::::::::::::            
      ::::::      :::::::            
       ::::       ::::::             
       :::         :::::             
       :::         ::: :             
       :::         ::: :             
       :::          :: :             
       :::          ::::   -diddle 2-
      ::           :::
              "
26,33,"     _    _                      
    ( \__//)                     
    .'     )                     
 __/b d  .  )                    
(_Y_`,     .)                    
 `--'-,-'  )                     
      (.  )                      
      (   )                      
     (   )                       
    ( . )         .---.          
   (    )        (     )         
   (   . )      (  .    )        
   (      )    (      .  ),      
   ( .     `""'`  .       `)\     
    (      .              .)\    
    ((  .      .   (   .   )\\   
    ((       .    (        ) \\  
     ((     )     _( .   . )  \\ 
     ( ( .   )""'""`(.(     )   ( ;
     ( (    )      ( ( . )     \'
      |~(  )        |~(  )       
      | ||~|        | ||~|       
 jgs  | || |        | || |       
     _| || |       _| || |       
    /___(| |      /___(| |       
       /___(         /___(
      "
26,33,"       \                         
       |)                        
   /~~~ ]                        
 / .o.  ]                        
( ,      ]                       
 \/~~]   ]                       
 :   ]  ]                        
 :   ]  ]                        
 :  [  ]                         
 : [  ]                          
 : [  ]        .---.             
 : [   [      [     ]            
 :  [   ] _ _[       ]_          
 :  [                  ]         
  : [                   ]        
   :[                    ]       
     [                   ]       
      [      _ _ _      ]        
      [    ]      [     ]        
       [  ]       [    ]         
       [ ]         [   ]         
       [ ]         [   ]         
       [ ]         [   ]         
       [ ]          [  ]   -cfbd-
       [ ]          [  ]         
      [[           [[[
          "
7,18,"      /\_/\       
 /\  / o o \      
//\\ \~(*)~/      
`  \/   ^ /       
   | \|| ||  Lara 
   \ '|| ||  Allen
    \)()-())
     "
7,18,"   _='`'=_        
  //(@_@)\\       
  |||(Y)|||       
  \\\\ ////       
   / )`( \        
<\(  )'(  )       
 (__w)_(w__)
     "
7,26,"                   _ |\_  
                   \` ..\ 
              __,.-"" =__Y=
            .""        )   
      _    /   ,    \/\_  
     ((____|    )_-\ \_-` 
jgs  `-----'`-----` `--`
 "
7,13,"      /\_/\  
 /\  / o o \ 
//\\ \~(*)~/ 
`  \/   ^ /  
   | \|| ||  
   \ '|| ||  
    \)()-())
"
7,18,"    /\_____/\     
   /  o   o  \    
  ( ==  ^  == )   
   )         (    
  (           )   
 ( (  )   (  ) )  
(__(__)___(__)__)
"
8,34,"        _..---...,""""-._     ,/}/) 
     .''        ,      ``..'(/-<  
    /   _      {      )         \ 
   ;   _ `.     `.   <         a( 
 ,'   ( \  )      `.  \ __.._ .: y
(  <\_-) )'-.____...\  `._   //-' 
 `. `-' /-._)))      `-._)))      
   `...'         hjw
             "
8,26,"    .       .             
    \`-""'""-'/             
     } 6 6 {              
    =.  Y  ,=             
      /^^^\  .            
     /     \  )           
jgs (  )-(  )/            
     """"   """"
             "
8,27,"     .       .             
     \`-""'""-'/             
      } 6 6 {              
     =.  Y  ,=             
   (""""-'***`-"""")           
    `-/     \-'            
jgs  (  )-(  )==='         
      """"   """"
             "
8,17,"  ^___^          
 "" o o ""         
 ===X===       _ 
  ' "" '_     __\\
 /''''  \___/ __/
|           /    
(""|"")__\   |     
"""" """"(_____/
    "
8,30,"                 __        .-.
             .-""` .`'.    /\\|
     _(\-/)_"" ,  .   ,\  /\\\/
    {(#b^d#)} .   ./,  |/\\\/ 
    `-.(Y).-`  ,  |  , |\.-`  
         /~/,_/~~~\,__.-`     
        ////~    // ~\\       
jgs   ==`==`   ==`   ==`
     "
9,29,"                      (`.-,')
                    .-'     ;
                _.-'   , `,- 
          _ _.-'     .'  /._ 
        .' `  _.-.  /  ,'._;)
       (       .  )-| (      
        )`,_ ,'_,'  \_;)     
('_  _,'.'  (___,))          
 `-:;.-'
                    "
10,20,"  /\ ___ /\         
 (  o   o  )        
  \  >#<  /         
  /       \         
 /         \       ^
|           |     //
 \         /    //  
  ///  ///   --     
Berton Corson       

                   "
10,20,"      ,_     _,     
      |\\___//|     
      |=6   6=|     
      \=._Y_.=/     
       )  `  (    , 
      /       \  (( 
      |       |   ))
     /| |   | |\_// 
jgs  \| |._.| |/-`  
      '""'   '""'
    "
10,34,"     /\_/\ /\_/\                  
     (^ ^) {@ @}                  
     ==~== ==o==                  
      \@/   \^/                   
      |=|   ###_     -Mike Lukacs-
(    /  \  /    \                 
 \  /   |  |     \                
  )/ ||||  ||||(  \   \           
 (( /||||  |||| \  )   )          
   m !m!m  m!m! m-~(__/
          "
10,17," ,_     _        
 |\\_,-~/        
 / _  _ |    ,--.
(  @  @ )   / ,-'
 \  _T_/-._( (   
 /         `. \  
|         _  \ | 
 \ \ ,  /      | 
  || |-_\__   /  
 ((_/`(____,-'
  "
10,17,"         ,    ,  
        | \--/ | 
        ( (0_0)( 
         \==Y==/ 
         /'-""-'> 
       _/ < ; (; 
      / ,_ |_|_\ 
snd  ( _,,)\,,),)
     \ '.___     
      '-----'
   "
11,29,"  ,-.       _,---._ __  / \  
 /  )    .-'       `./ /   \ 
(  (   ,'            `/    /|
 \  `-""             \'\   / |
  `.              ,  \ \ /  |
   /`.          ,'-`----Y   |
  (            ;        |   '
  |  ,-.    ,-'         |  / 
  |  | (   |        hjw | /  
  )  |  \  `.___________|/   
  `--'   `--'
               "
11,22," /\     /\            
{  `---'  }           
{  O   O  }           
~~>  V  <~~           
 \  \|/  /            
  `-----'____         
  /     \    \_       
 {       }\  )_\_   _ 
 |  \_/  |/ /  \_\_/ )
  \__/  /(_/     \__/ 
    (__/
             "
11,38,"    /\___/\                           
   /       \                          
  l  u   u  l                         
--l----*----l--                       
   \   w   /     - Meow!              
     ======                           
   /       \ __                       
   l        l\ \                      
   l        l/ /   -Audrey Ming Hwang-
   l  l l   l /                       
   \ ml lm /_/
                       "
12,28,"      _          ___        
    /' '\       / "" \       
   |  ,--+-----4 /   |      
   ',/   o  o     --.;      
--._|_   ,--.  _.,-- \----. 
------'--`--' '-----,' VJ  |
     \_  ._\_.   _,-'---._.'
       `--...--``  /        
         /###\   | |        
         |.   `.-'-'.       
        .||  /,     |       
       do_o00oo_,.ob
       "
12,22,"                   .-.
                  / / 
                 / |  
   |\     ._ ,-""""  `. 
   | |,,_/  7        ;
 `;=     ,=(     ,  / 
  |`q  q  ` |    \_,| 
 .=; <> _ ; /  ,/'/ | 
';|\,j_ \;=\ ,/   `-' 
    `--'_|\  )        
   ,' | /  ;'         
  (,,/ (,,/      fsc
 "
12,28," _                          
( \                         
 \ \                        
 / /                |\\     
/ /     .-`````-.   / ^`-.  
\ \    /         \_/  {|} `o
 \ \  /   .---.   \\ _  ,--'
  \ \/   /     \,  \( `^^^  
   \   \/\      (\  )       
    \   ) \     ) \ \       
jgs  ) /__ \__  ) (\ \___   
    (___)))__))(__))(__)))
 "
12,28,"     _                      
    / )                     
   / /                      
  / /               /\      
 / /     .-```-.   / ^`-.   
 \ \    /       \_/  (|) `o 
  \ \  /   .-.   \\ _  ,--' 
   \ \/   /   )   \( `^^^   
    \   \/    (    )        
     \   )     )  /         
jgs   ) /__    | (__        
     (___)))   (__)))
      "
12,22," /\     /\            
{  `---'  }           
{  O   O  }           
~~>  V  <~~           
 \  \|/  /            
  `-----'__           
  /     \  `^\_       
 {       }\ |\_\_   W 
 |  \_/  |/ /  \_\_( )
  \__/  /(_E     \__/ 
    (  /              
     MM
              "
12,31,"           .'\   /`.           
         .'.-.`-'.-.`.         
    ..._:   .-. .-.   :_...    
  .'    '-.(o ) (o ).-'    `.  
 :  _    _ _`~(_)~`_ _    _  : 
:  /:   ' .-=_   _=-. `   ;\  :
:   :|-.._  '     `  _..-|:   :
 :   `:| |`:-:-.-:-:'| |:'   : 
  `.   `.| | | | | | |.'   .'  
    `.   `-:_| | |_:-'   .'    
 jgs  `-._   ````    _.-'      
          ``-------''
         "
14,26,"                        _ 
                       | \
                       | |
                       | |
  |\                   | |
 /, ~\                / / 
X     `-.....-------./ /  
 ~-. ~  ~              |  
    \             /    |  
     \  /_     ___\   /   
     | /\ ~~~~~   \ |     
     | | \        || |    
     | |\ \       || )    
    (_/ (_/      ((_/
    "
14,37,"             ,  ,, ,                 
       , ,; ; ;;  ; ;  ;             
    , ; ';  ;  ;; .-''\ ; ;          
 , ;  ;`  ; ,; . / /8b \ ; ;         
 `; ; .;'         ;,\8 |  ;  ;       
  ` ;/   / `_      ; ;;    ;  ; ;    
     |/.'  /9)    ;  ; `    ;  ; ;   
    ,/'          ; ; ;  ;   ; ; ; ;  
   /_            ;    ;  `    ;  ;   
  `?8P""  .      ;  ; ; ; ;     ;  ;; 
  | ;  .:: `     ;; ; ;   `  ;  ;    
  `' `--._      ;;  ;;  ; ;   ;   ;  
   `-..__..--''   ; ;    ;;   ; ;   ;
fL             ;    ; ; ;   ;     ;
 "
